date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:37	10916/10916	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Feb%202021%2020:23:13%20GMT	https://ozmega-millions.com/	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/index.html	(from )
19:13:58	2492/2492	---M--	200	added ('OK')	application/javascript	date:Sat,%2012%20Mar%202016%2016:14:02%20GMT	https://ozmega-millions.com/js/html5.js	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/js/html5.js	(from https://ozmega-millions.com/)
19:14:01	817564/817564	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Aug%202019%2012:53:04%20GMT	https://ozmega-millions.com/images/og/megamillions-fb.jpg	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/images/og/megamillions-fb.jpg	(from https://ozmega-millions.com/)
19:14:57	38398/38398	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Oct%202019%2007:14:54%20GMT	https://ozmega-millions.com/includes/style3e4a.css?v=2017-10-25	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/includes/style3e4a3e4a.css	(from https://ozmega-millions.com/)
19:15:03	1018/1018	---M--	200	added ('OK')	image/x-icon	date:Tue,%2015%20Oct%202019%2011:18:56%20GMT	https://ozmega-millions.com/favicon.ico	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/favicon.ico	(from https://ozmega-millions.com/)
19:15:06	217/217	---M--	302	error ('Found')	text/html	date:Thu,%2011%20Feb%202021%2018:14:59%20GMT	https://ozmega-millions.com/index.html	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/index.4.delayed	(from https://ozmega-millions.com/)
19:15:08	10916/10916	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Feb%202021%2020:23:13%20GMT	https://ozmega-millions.com/index	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/index-2.html	(from https://ozmega-millions.com/)
19:15:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Feb%202021%2018:15:03%20GMT	https://ozmega-millions.com/www.google-analytics.com/analytics.js	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/www.google-analytics.com/analytics.6.delayed	(from https://ozmega-millions.com/)
19:15:13	218/218	---M--	302	error ('Found')	text/html	date:Thu,%2011%20Feb%202021%2018:15:05%20GMT	https://ozmega-millions.com/linkid.html	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/linkid.7.delayed	(from https://ozmega-millions.com/)
19:15:15	6452/6452	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2016:24:42%20GMT	https://ozmega-millions.com/linkid	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/linkid.html	(from https://ozmega-millions.com/)
19:15:23	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Feb%202021%2018:15:16%20GMT	https://ozmega-millions.com/code.jquery.com/jquery-1.8.2.js	C:/ozmega-millions/ozmega-millions/ozmega-millions.com/code.jquery.com/jquery-1.8.2.9.delayed	(from https://ozmega-millions.com/)
